deviceID,output,digital,maximumResponseTime,memoryStatus,batteryLevel,measurement,protocol,type,unit,environment,latitude,longitude,altitude,floor,locationKeyword,LocationIdentifier,ComputationalCost,BatteryCost
000005,1,1,1,12,100,9,etsi,TRAFFIC,cars/min,1,43.658442,10.437698,7,0,Pisa,FortiI,0.1,10
000005,1,1,1,12,100,10,etsi,TRAFFIC,cars/min,1,43.658442,10.437698,7,0,Pisa,FortiI,0.1,10
000005,1,1,1,12,100,16,etsi,TRAFFIC,cars/min,1,43.658442,10.437698,7,0,Pisa,FortiI,0.1,10
000005,1,1,1,12,100,16,etsi,TRAFFIC,cars/min,1,43.658442,10.437698,7,0,Pisa,FortiI,0.1,10
000005,1,1,1,12,100,16,etsi,TRAFFIC,cars/min,1,43.658442,10.437698,7,0,Pisa,FortiI,0.1,10
000005,1,1,1,12,100,15,etsi,TRAFFIC,cars/min,1,43.658442,10.437698,7,0,Pisa,FortiI,0.1,10
000005,1,1,1,12,100,15,etsi,TRAFFIC,cars/min,1,43.658442,10.437698,7,0,Pisa,FortiI,0.1,10
000005,1,1,1,12,100,15,etsi,TRAFFIC,cars/min,1,43.658442,10.437698,7,0,Pisa,FortiI,0.1,10
000005,1,1,1,12,100,14,etsi,TRAFFIC,cars/min,1,43.658442,10.437698,7,0,Pisa,FortiI,0.1,10
000005,1,1,1,12,100,14,etsi,TRAFFIC,cars/min,1,43.658442,10.437698,7,0,Pisa,FortiI,0.1,10
000005,1,1,1,12,100,14,etsi,TRAFFIC,cars/min,1,43.658442,10.437698,7,0,Pisa,FortiI,0.1,10
000005,1,1,1,12,100,13,etsi,TRAFFIC,cars/min,1,43.658442,10.437698,7,0,Pisa,FortiI,0.1,10
000005,1,1,1,12,100,13,etsi,TRAFFIC,cars/min,1,43.658442,10.437698,7,0,Pisa,FortiI,0.1,10
000005,1,1,1,12,100,13,etsi,TRAFFIC,cars/min,1,43.658442,10.437698,7,0,Pisa,FortiI,0.1,10
000005,1,1,1,12,100,15,etsi,TRAFFIC,cars/min,1,43.658442,10.437698,7,0,Pisa,FortiI,0.1,10
000005,1,1,1,12,100,13,etsi,TRAFFIC,cars/min,1,43.658442,10.437698,7,0,Pisa,FortiI,0.1,10
000005,1,1,1,12,100,13,etsi,TRAFFIC,cars/min,1,43.658442,10.437698,7,0,Pisa,FortiI,0.1,10
000005,1,1,1,12,100,12,etsi,TRAFFIC,cars/min,1,43.658442,10.437698,7,0,Pisa,FortiI,0.1,10
000005,1,1,1,12,100,11,etsi,TRAFFIC,cars/min,1,43.658442,10.437698,7,0,Pisa,FortiI,0.1,10
