deviceID,output,digital,maximumResponseTime,memoryStatus,batteryLevel,measurement,protocol,type,unit,environment,latitude,longitude,altitude,floor,locationKeyword,LocationIdentifier,ComputationalCost,BatteryCost
000001,1,1,1,12,100,0,etsi,GPSPOSITION,cars/min,1,43.65915379995205,10.4373951,7,0,Pisa,usr001,0.1,10
000001,1,1,1,12,100,0,etsi,GPSPOSITION,cars/min,1,43.658372333285385,10.437726766666666,7,0,Pisa,usr001,0.1,10
000001,1,1,1,12,100,0,etsi,GPSPOSITION,cars/min,1,43.657604257131936,10.438045242857143,7,0,Pisa,usr001,0.1,10
000001,1,1,1,12,100,0,etsi,GPSPOSITION,cars/min,1,43.65672379046527,10.43840140952381,7,0,Pisa,usr001,0.1,10
000001,1,1,1,12,100,0,etsi,GPSPOSITION,cars/min,1,43.65584332379861,10.438757576190476,7,0,Pisa,usr001,0.1,10
000001,1,1,1,12,100,0,etsi,GPSPOSITION,cars/min,1,43.65528905715975,10.438587514285715,7,0,Pisa,usr001,0.1,10
000001,1,1,1,12,100,0,etsi,GPSPOSITION,cars/min,1,43.65511005715975,10.437279964285715,7,0,Pisa,usr001,0.1,10
000001,1,1,1,12,100,0,etsi,GPSPOSITION,cars/min,1,43.65512957496402,10.436262525,7,0,Pisa,usr001,0.1,10
000001,1,1,1,12,100,0,etsi,GPSPOSITION,cars/min,1,43.65591597143166,10.436280742857143,7,0,Pisa,usr001,0.1,10
000001,1,1,1,12,100,0,etsi,GPSPOSITION,cars/min,1,43.65671927143166,10.436907576190476,7,0,Pisa,usr001,0.1,10
000001,1,1,1,12,100,0,etsi,GPSPOSITION,cars/min,1,43.657522571431656,10.43753440952381,7,0,Pisa,usr001,0.1,10
000001,1,1,1,12,100,0,etsi,GPSPOSITION,cars/min,1,43.657730038084324,10.437994361904762,7,0,Pisa,usr001,0.1,10
000001,1,1,1,12,100,0,etsi,GPSPOSITION,cars/min,1,43.65672379046527,10.43840140952381,7,0,Pisa,usr001,0.1,10
000001,1,1,1,12,100,0,etsi,GPSPOSITION,cars/min,1,43.65584332379861,10.438757576190476,7,0,Pisa,usr001,0.1,10
000001,1,1,1,12,100,0,etsi,GPSPOSITION,cars/min,1,43.655091678238236,10.439048952173913,7,0,Pisa,usr001,0.1,10
000001,1,1,1,12,100,0,etsi,GPSPOSITION,cars/min,1,43.65422185215128,10.439356434782608,7,0,Pisa,usr001,0.1,10
000001,1,1,1,12,100,0,etsi,GPSPOSITION,cars/min,1,43.653352026064326,10.439663917391304,7,0,Pisa,usr001,0.1,10
000001,1,1,1,12,100,0,etsi,GPSPOSITION,cars/min,1,43.65248219997737,10.4399714,7,0,Pisa,usr001,0.1,10
000001,1,1,1,12,100,0,etsi,GPSPOSITION,cars/min,1,43.65233449090084,10.43885769090909,7,0,Pisa,usr001,0.1,10
